datetime,instrument,size,price,value
2024-04-02,AFL,484,82.58663706207275,39830.025817871094
2024-04-02,BRK-B,-95,419.98991220092773,-39797.401275634766
2024-04-02,EMR,-1913,110.53846075057984,-211062.75300598145
2024-04-02,ENPH,6424,115.80000305175781,729445.2196044922
2024-04-02,FI,252,158.64929232788086,39884.041076660156
2024-04-02,MPWR,60,651.9798583984375,38559.093017578125
2024-04-02,MU,323,122.99671173095703,39429.20626068115
2024-04-02,ORCL,-538,74.26484332656861,-40119.90353393555
2024-04-02,PLTR,-1749,22.848570610046387,-39737.27879905701
2024-04-02,PODD,237,166.97999572753906,38879.8507232666
2024-04-02,RMD,-628,186.73178271484377,-114252.38037109375
2024-04-02,RSG,213,187.41441538238524,39708.05763244629
2024-04-02,TECH,-580,68.8604881401062,-39584.86282348633
2024-04-02,TRV,-1027,223.1543734664917,-228982.63793945312
2024-04-02,TXT,-420,95.16384294509888,-39485.4313659668
2024-04-02,VST,-2728,70.81223242187501,-192245.65991210938
2024-04-02,WBA,-459,18.25825750923157,-8032.865072250366
2024-04-02,WTW,-148,269.25644822692874,-39048.9833984375
2024-04-03,AFL,484,82.58663706207275,39947.26303100586
2024-04-03,BRK-B,-95,419.98991220092773,-39922.799072265625
2024-04-03,EMR,-1913,110.53846075057984,-211565.85834503174
2024-04-03,ENPH,6424,115.80000305175781,761886.3901977539
2024-04-03,FI,252,158.64929232788086,39735.358154296875
2024-04-03,MPWR,60,651.9798583984375,38610.791015625
2024-04-03,MU,323,122.99671173095703,41118.800453186035
2024-04-03,ORCL,-538,74.26484332656861,-40195.12879943848
2024-04-03,PLTR,-1749,22.848570610046387,-39702.3013343811
2024-04-03,PODD,237,166.97999572753906,39071.82014465332
2024-04-03,RMD,-628,186.73178271484377,-115293.501953125
2024-04-03,RSG,213,187.41441538238524,39775.312408447266
2024-04-03,TECH,-580,68.8604881401062,-39072.49969482422
2024-04-03,TRV,-1027,223.1543734664917,-230198.65884399414
2024-04-03,TXT,-420,95.16384294509888,-39581.917419433594
2024-04-03,VST,-2728,70.81223242187501,-199297.849609375
2024-04-03,WBA,-459,18.25825750923157,-7938.461940765381
2024-04-03,WTW,-148,269.25644822692874,-39266.240966796875
2024-04-04,AFL,484,82.58663706207275,39562.70916748047
2024-04-04,BRK-B,-95,419.98991220092773,-39455.40069580078
2024-04-04,EMR,-1913,110.53846075057984,-210634.16989898682
2024-04-04,ENPH,6424,115.80000305175781,775890.7121582031
2024-04-04,FI,252,158.64929232788086,39037.32092285156
2024-04-04,MPWR,60,651.9798583984375,38212.705078125
2024-04-04,MU,323,122.99671173095703,39859.63471221924
2024-04-04,ORCL,-538,74.26484332656861,-39728.733795166016
2024-04-04,PLTR,-1749,22.848570610046387,-39317.51919937134
2024-04-04,PODD,237,166.97999572753906,38690.25
2024-04-04,RMD,-628,186.73178271484377,-114649.00085449219
2024-04-04,RSG,213,187.41441538238524,39258.26023864746
2024-04-04,TECH,-580,68.8604881401062,-38600.42663574219
2024-04-04,TRV,-1027,223.1543734664917,-229635.87425231934
2024-04-04,TXT,-420,95.16384294509888,-40060.121154785156
2024-04-04,VST,-2728,70.81223242187501,-190597.4585571289
2024-04-04,WBA,-459,18.25825750923157,-8144.433603286743
2024-04-04,WTW,-148,269.25644822692874,-38831.725830078125
2024-04-05,AFL,484,82.58663706207275,40059.821685791016
2024-04-05,BRK-B,-95,419.98991220092773,-39768.89953613281
2024-04-05,EMR,-1913,110.53846075057984,-213429.22064208984
2024-04-05,ENPH,6424,115.80000305175781,721222.4584350586
2024-04-05,FI,252,158.64929232788086,39659.76123046875
2024-04-05,MPWR,60,651.9798583984375,38876.378173828125
2024-04-05,MU,323,122.99671173095703,39695.81827545166
2024-04-05,ORCL,-538,74.26484332656861,-39944.37791442871
2024-04-05,PLTR,-1749,22.848570610046387,-40157.038398742676
2024-04-05,PODD,237,166.97999572753906,39105.0
2024-04-05,RMD,-628,186.73178271484377,-116979.17254638672
2024-04-05,RSG,213,187.41441538238524,39598.75602722168
2024-04-05,TECH,-580,68.8604881401062,-38565.880279541016
2024-04-05,TRV,-1027,223.1543734664917,-232037.74981689453
2024-04-05,TXT,-420,95.16384294509888,-40542.52258300781
2024-04-05,VST,-2728,70.81223242187501,-203539.97369384766
2024-04-05,WBA,-459,18.25825750923157,-8208.797504425049
2024-04-05,WTW,-148,269.25644822692874,-39505.36340332031
2024-04-08,AFL,484,82.58663706207275,39928.504486083984
2024-04-08,BRK-B,-95,419.98991220092773,-39517.1501159668
2024-04-08,EMR,-1913,110.53846075057984,-213671.46897888184
2024-04-08,ENPH,6424,115.80000305175781,740301.7462768555
2024-04-08,FI,252,158.64929232788086,39778.20153808594
2024-04-08,MPWR,60,651.9798583984375,40481.19873046875
2024-04-08,MU,323,122.99671173095703,39493.44795227051
2024-04-08,ORCL,-538,74.26484332656861,-40109.87596130371
2024-04-08,PLTR,-1749,22.848570610046387,-40227.0
2024-04-08,PODD,237,166.97999572753906,40299.47840881348
2024-04-08,RMD,-628,186.73178271484377,-116359.44226074219
2024-04-08,RSG,213,187.41441538238524,39623.980224609375
2024-04-08,TECH,-580,68.8604881401062,-39273.98986816406
2024-04-08,TRV,-1027,223.1543734664917,-231736.2597503662
2024-04-08,TXT,-420,95.16384294509888,-40680.95031738281
2024-04-08,VST,-2728,70.81223242187501,-201081.14807128906
2024-04-08,WBA,-459,18.25825750923157,-8221.67221069336
2024-04-08,WTW,-148,269.25644822692874,-38987.75183105469
2024-04-09,CDNS,1373,15.667829847335815,21281.5
