datetime,value,cash,ret
2024-03-27,1000000.0,1000000.0,0.0
2024-03-28,1000000.0,1000000.0,0.0
2024-04-01,1000000.0,1000000.0,0.0
2024-04-02,991709.3381058755,14863.4104210916,-0.008290661894124418
2024-04-03,996922.0208260599,14863.4104210916,0.005256260599643348
2024-04-04,984245.249818522,14863.4104210916,-0.012715910314664014
2024-04-05,988782.6513630929,14863.4104210916,0.004610031438208706
2024-04-08,1004776.8159539285,14863.4104210916,0.01617561207084961
2024-04-09,1011168.7005807714,63267.31214350031,0.0063614969268319665
2024-04-10,992322.684652503,63267.31214350031,-0.01863785530292239
2024-04-11,998376.5179063635,63267.31214350031,0.006100670021446097
2024-04-12,973436.4921895819,63267.31214350031,-0.024980581243118416
2024-04-15,956663.5836736517,63267.31214350031,-0.017230614067284766
2024-04-16,952673.4165960386,62917.68230686928,-0.004170919794281858
2024-04-17,947337.7657075956,62917.68230686928,-0.005600713524166134
2024-04-18,942847.9112402037,62917.68230686928,-0.00473944418761596
2024-04-19,942220.1436601713,62917.68230686928,-0.000665820619156432
2024-04-22,950329.4702287748,62917.68230686928,0.00860661558041187
2024-04-23,976582.4044611849,56571.0216315187,0.027625086935471055
2024-04-24,979369.9131453432,56571.0216315187,0.0028543507147216207
2024-04-25,977822.150484363,56571.0216315187,-0.0015803657435313756
2024-04-26,999487.3510802187,56571.0216315187,0.022156586026532477
2024-04-29,1017734.6722090639,56571.0216315187,0.018256680396329106
2024-04-30,1003005.2503107014,77924.41967753795,-0.014472752378958731
2024-05-01,991086.3805692616,77924.41967753795,-0.011883157877536243
2024-05-02,1014010.9512956563,77924.41967753795,0.023130749423907027
2024-05-03,1024471.9837758961,77924.41967753795,0.01031648866008128
2024-05-06,1043832.4705236378,77924.41967753795,0.01889801483529574
2024-05-07,1035486.8668117035,83697.56007285006,-0.007995156260800829
2024-05-08,1038077.758870076,83697.56007285006,0.002502100356279735
2024-05-09,1043221.8042621125,83697.56007285006,0.004955356521302967
2024-05-10,1036349.0544023026,83697.56007285006,-0.006588004422195759
2024-05-13,1038851.5541333664,83697.56007285006,0.0024147266989180682
2024-05-14,1053335.0751620794,84079.71624865769,0.01394185817125293
2024-05-15,1069764.5591908956,84079.71624865769,0.015597585627050492
2024-05-16,1061415.4438640142,84079.71624865769,-0.0078046288364573835
2024-05-17,1060525.2763186956,84079.71624865769,-0.0008386608188759581
2024-05-20,1068280.326012757,84079.71624865769,0.007312460973095014
2024-05-21,1057838.5079278708,87784.99403760437,-0.009774417660445955
2024-05-22,1056471.8247155906,87784.99403760437,-0.0012919582734394197
2024-05-23,1028357.1777982474,87784.99403760437,-0.026611828408118487
2024-05-24,1043290.1936349631,87784.99403760437,0.014521234605166855
2024-05-28,1049543.9530677558,87784.99403760437,0.00599426647633261
2024-05-29,1032172.911450426,82948.70424560709,-0.01655103777841349
2024-05-30,1041307.7083444995,82948.70424560709,0.00885006455094528
2024-05-31,1041875.490620653,82948.70424560709,0.0005452588813121828
2024-06-03,1045100.8616075915,82948.70424560709,0.0030957355422740473
2024-06-04,1045312.7447832875,76583.62838542969,0.00020273945174076324
2024-06-05,1061144.6245878986,76583.62838542969,0.015145591483143539
2024-06-06,1059801.5521830372,76583.62838542969,-0.0012656827106701796
2024-06-07,1046964.4544333272,76583.62838542969,-0.012112737260355444
2024-06-10,1054697.9024199299,76583.62838542969,0.007386543023362169
2024-06-11,1056018.1763450527,86203.17665976506,0.0012518029305770284
2024-06-12,1066522.1335212612,86203.17665976506,0.009946757936083461
2024-06-13,1064415.0726787471,86203.17665976506,-0.0019756372383545884
2024-06-14,1043171.9231922054,86203.17665976506,-0.019957580488859872
2024-06-17,1047748.5681983852,86203.17665976506,0.004387239441965507
2024-06-18,1050504.6537505738,86498.92268100897,0.002630483720848842
2024-06-20,1047287.9950343719,86498.92268100897,-0.0030620128189985385
2024-06-21,1046986.3946239104,86498.92268100897,-0.00028798230466831054
2024-06-24,1042914.262547647,86498.92268100897,-0.0038893839472730063
2024-06-25,1049688.826750751,72950.64134120518,0.006495801664994749
2024-06-26,1045817.4226827578,72950.64134120518,-0.0036881444951422093
2024-06-27,1047618.9803571658,72950.64134120518,0.0017226311546680861
2024-06-28,1043757.0714063601,72950.64134120518,-0.0036863678715414183
2024-07-01,1033350.380354877,72950.64134120518,-0.009970414894972746
2024-07-02,1031418.9249074743,82557.11598566044,-0.0018691195978844943
2024-07-03,1037265.5067937658,82557.11598566044,0.005668484206663216
2024-07-05,1029458.1948354528,82557.11598566044,-0.007526821153482466
2024-07-08,1038776.7029111669,82557.11598566044,0.009051856716924433
2024-07-09,1036935.9652789969,72533.37950552894,-0.001772024369637304
2024-07-10,1046554.9808620352,72533.37950552894,0.009276383407581301
2024-07-11,1068375.8645519156,72533.37950552894,0.02085020289321715
2024-07-12,1080359.0696529287,72533.37950552894,0.011216282114383969
2024-07-15,1077038.2780727285,72533.37950552894,-0.0030737850715383264
2024-07-16,1095785.252402324,63382.650786418235,0.01740604276678237
2024-07-17,1075431.8747511094,63382.650786418235,-0.018574239438423956
2024-07-18,1062700.8194914048,63382.650786418235,-0.01183808622247784
2024-07-19,1050902.4362669175,63382.650786418235,-0.011102262281244779
2024-07-22,1053285.9883070176,63382.650786418235,0.0022681002135336303
2024-07-23,1058514.4491310741,59390.807901444605,0.004963951749192397
2024-07-24,1043077.347683015,59390.807901444605,-0.014583741828683827
2024-07-25,1037867.0028296139,59390.807901444605,-0.0049951663363938525
2024-07-26,1061298.4874840404,59390.807901444605,0.022576577336540726
