datetime,instrument,size,price,value
2024-04-02,AFL,214,82.58663706207275,17610.79653930664
2024-04-02,ALB,276,124.71832275390625,34069.38803100586
2024-04-02,ALGN,60,312.510009765625,18724.200439453125
2024-04-02,AON,-7,325.3904460449219,-2279.2182006835938
2024-04-02,AVGO,300,132.30435180664062,39584.568786621094
2024-04-02,AVY,-182,218.5314114456177,-39223.04949951172
2024-04-02,BRK-B,-100,419.98991220092773,-41892.00134277344
2024-04-02,BXP,-267,58.944496772766115,-15452.478332519531
2024-04-02,CCL,2460,15.880000114440918,38080.79887390137
2024-04-02,CDNS,2460,15.880000114440918,38080.79887390137
2024-04-02,CHRW,563,71.0825587348938,39388.63493347168
2024-04-02,COR,-101,239.80424748992922,-24241.317672729492
2024-04-02,CVS,-536,74.4658688621521,-37052.586669921875
2024-04-02,CZR,-245,74.4658688621521,-16936.35025024414
2024-04-02,DD,-381,75.27520977783203,-28556.67844390869
2024-04-02,DELL,-531,75.27520977783203,-39799.46523284912
2024-04-02,DG,-552,75.27520977783203,-41373.45538330078
2024-04-02,EMR,-361,110.53846075057984,-39829.40608215332
2024-04-02,ENPH,-451,118.23085591506958,-51211.05137634277
2024-04-02,EQIX,31,772.8709716796875,23801.65771484375
2024-04-02,FI,-252,158.49072232055664,-39884.041076660156
2024-04-02,HD,112,355.7483215332031,39424.587890625
2024-04-02,HIG,112,355.7483215332031,39424.587890625
2024-04-02,HLT,-188,211.91498559570314,-39423.29821777344
2024-04-02,HWM,607,65.57898712158203,39443.80213928223
2024-04-02,INTC,907,43.62494659423828,39442.15496826172
2024-04-02,INTU,67,624.6571655273438,41596.449462890625
2024-04-02,KHC,736,34.800556560516355,25828.365478515625
2024-04-02,KIM,2464,18.00217056274414,43984.79309082031
2024-04-02,KO,424,58.531146852493286,24588.153747558594
2024-04-02,LEN,190,154.5976104736328,29226.039123535156
2024-04-02,LMT,-108,437.9814307403565,-47372.693115234375
2024-04-02,LNT,-91,437.9814307403565,-39915.880310058594
2024-04-02,MMM,439,91.10287120056152,39472.48109436035
2024-04-02,MPWR,60,651.9798583984375,38559.093017578125
2024-04-02,MU,323,122.99671173095703,39429.20626068115
2024-04-02,OKE,25,74.33914532089233,1864.3077850341797
2024-04-02,ORCL,-538,74.26484332656861,-40119.90353393555
2024-04-02,PLTR,-1490,22.848570610046387,-33852.79897689819
2024-04-02,PODD,137,166.97999572753906,22474.85041809082
2024-04-02,PRU,-314,108.39959999084473,-34057.43389892578
2024-04-02,PYPL,615,64.83999633789062,39765.902252197266
2024-04-02,RMD,189,185.80874633789062,34384.87243652344
2024-04-02,RSG,-222,187.22709462738038,-41385.862884521484
2024-04-02,RTX,-419,94.7120273399353,-40025.04277038574
2024-04-02,SBAC,-429,94.7120273399353,-40980.29438781738
2024-04-02,SMCI,-385,103.66313883972168,-38881.53396606445
2024-04-02,STE,-77,513.8208419189453,-39332.32516479492
2024-04-02,TECH,738,68.46813201904297,50368.325454711914
2024-04-02,TRV,-173,223.1543734664917,-38572.537841796875
2024-04-02,TXT,-445,95.16384294509888,-41835.75466156006
2024-04-02,UHS,229,173.5455322265625,39283.97230529785
2024-04-02,VST,564,70.60003662109375,39745.80358886719
2024-04-02,WBA,-400,18.25825750923157,-7000.318145751953
2024-04-02,WDC,1208,52.600406646728516,62730.16390991211
2024-04-02,WMB,-41,37.05542755126953,-1535.6843223571777
2024-04-02,WRB,-12,56.43971875190735,-675.8340454101562
2024-04-02,WTW,-163,269.25644822692874,-43006.650634765625
2024-04-03,AFL,214,82.58663706207275,17662.63282775879
2024-04-03,ALB,276,124.71832275390625,34713.16763305664
2024-04-03,ALGN,60,312.510009765625,18606.59912109375
2024-04-03,AON,-7,325.3904460449219,-2243.471160888672
2024-04-03,AVGO,300,132.30435180664062,40307.501220703125
2024-04-03,AVY,-182,218.5314114456177,-39360.102142333984
2024-04-03,BRK-B,-100,419.98991220092773,-42023.9990234375
2024-04-03,BXP,-267,58.944496772766115,-15601.753234863281
2024-04-03,CCL,2460,15.880000114440918,37736.40037536621
2024-04-03,CDNS,2460,15.880000114440918,37736.40037536621
2024-04-03,CHRW,563,71.0825587348938,39143.207275390625
2024-04-03,COR,-101,239.80424748992922,-24511.56541442871
2024-04-03,CVS,-536,74.4658688621521,-37444.09338378906
2024-04-03,CZR,-245,74.4658688621521,-17115.30387878418
2024-04-03,DD,-381,75.27520977783203,-28664.46546936035
2024-04-03,DELL,-531,75.27520977783203,-39949.68809509277
2024-04-03,DG,-552,75.27520977783203,-41529.61926269531
2024-04-03,EMR,-361,110.53846075057984,-39924.346504211426
2024-04-03,ENPH,-451,118.23085591506958,-53488.59931182861
2024-04-03,EQIX,31,772.8709716796875,23688.754821777344
2024-04-03,FI,-252,158.49072232055664,-39735.358154296875
2024-04-03,HD,112,355.7483215332031,39087.90087890625
2024-04-03,HIG,112,355.7483215332031,39087.90087890625
2024-04-03,HLT,-188,211.91498559570314,-39760.623046875
2024-04-03,HWM,607,65.57898712158203,39891.0682220459
2024-04-03,INTC,907,43.62494659423828,36201.68793487549
2024-04-03,INTU,67,624.6571655273438,41358.13000488281
2024-04-03,KHC,736,34.800556560516355,25814.549194335938
2024-04-03,KIM,2464,18.00217056274414,43682.09436035156
2024-04-03,KO,424,58.531146852493286,24457.343963623047
2024-04-03,LEN,190,154.5976104736328,29877.224578857422
2024-04-03,LMT,-108,437.9814307403565,-46814.552490234375
2024-04-03,LNT,-91,437.9814307403565,-39445.595153808594
2024-04-03,MMM,439,91.10287120056152,39621.29402923584
