datetime,value,cash,ret
2024-03-27,1000000.0,1000000.0,0.0
2024-03-28,1000000.0,1000000.0,0.0
2024-04-01,1000000.0,1000000.0,0.0
2024-04-02,1000819.3851728338,1006145.5751066107,0.0008193851728337531
2024-04-03,1000601.7488775152,1006145.5751066107,-0.00021745811336482124
2024-04-04,992221.1450796026,1006145.5751066107,-0.008375563811790276
2024-04-05,998610.9507436651,1006145.5751066107,0.006439900717445379
2024-04-08,1006702.1117887396,1006145.5751066107,0.00810241569957637
2024-04-09,1014394.6998560599,1004448.6141226462,0.007641374719729033
2024-04-10,1011827.8045275381,1004448.6141226462,-0.002530469972768956
2024-04-11,1021248.3512919119,1004448.6141226462,0.009310424878838486
2024-04-12,1008792.4024641684,1004448.6141226462,-0.012196787208504478
2024-04-15,1007639.6478579214,1004448.6141226462,-0.001142707462339243
2024-04-16,1012078.3090012851,1008981.040703136,0.004405008430146129
2024-04-17,1019301.4138501467,1008981.040703136,0.007136903127574534
2024-04-18,1020632.5665076555,1008981.040703136,0.001305946052287732
2024-04-19,1022104.1652243914,1008981.040703136,0.0014418496577777162
2024-04-22,1026005.9885743441,1008981.040703136,0.003817441981655678
2024-04-23,1056107.287019628,1025083.219255346,0.02933832626757904
2024-04-24,1076976.2903212486,1025083.219255346,0.019760306133776995
2024-04-25,1068658.6057051597,1025083.219255346,-0.007723182665059225
2024-04-26,1069956.9132565437,1025083.219255346,0.0012148945832213265
2024-04-29,1087285.465146917,1025083.219255346,0.016195560471338633
2024-04-30,1085451.6983981219,1086264.9972310152,-0.0016865550102311833
2024-05-01,1106272.6740956393,1086264.9972310152,0.019181853718819974
2024-05-02,1107780.6398606387,1086264.9972310152,0.001363104956227934
2024-05-03,1098563.9425568667,1086264.9972310152,-0.00831996604032681
2024-05-06,1106385.8708157626,1086264.9972310152,0.007120139261707958
2024-05-07,1103203.0939372652,1103804.0818370455,-0.0028767331203810587
2024-05-08,1107850.4517882937,1103804.0818370455,0.004212604076772708
2024-05-09,1113315.7573836916,1103804.0818370455,0.0049332521249378924
2024-05-10,1112146.2785438173,1103804.0818370455,-0.0010504466788672229
2024-05-13,1120406.0629638308,1103804.0818370455,0.007426886713884695
2024-05-14,1131143.97755071,1121175.5502779135,0.009583949017978544
2024-05-15,1120909.8297950872,1121175.5502779135,-0.00904760840240959
2024-05-16,1119764.1651851782,1121175.5502779135,-0.0010220845419104396
2024-05-17,1121840.3252021917,1121175.5502779135,0.0018541047137994315
2024-05-20,1125539.647950376,1121175.5502779135,0.0032975483810653294
2024-05-21,1116391.0474958548,1125185.3076839575,-0.008128190305140226
2024-05-22,1111190.9405393729,1125185.3076839575,-0.004657961892605811
2024-05-23,1103350.98140241,1125185.3076839575,-0.007055456313527331
2024-05-24,1108626.4707079062,1125185.3076839575,0.0047813337681459345
2024-05-28,1121061.4125290045,1125185.3076839575,0.011216529777751116
2024-05-29,1126732.4601421226,1125128.1184682716,0.005058641346261883
2024-05-30,1112843.167178141,1125128.1184682716,-0.012327054962301909
2024-05-31,1101474.240324961,1125128.1184682716,-0.010216108781984423
2024-06-03,1104515.4448222984,1125128.1184682716,0.002761030976484946
2024-06-04,1096697.5512702942,1105278.5881011963,-0.007078120626246132
2024-06-05,1110977.106552887,1105278.5881011963,0.01302050439161917
2024-06-06,1106107.9706390381,1105278.5881011963,-0.004382750900202348
2024-06-07,1112060.1530845643,1105278.5881011963,0.005381194787058119
2024-06-10,1119334.9135368348,1105278.5881011963,0.00654169689660411
2024-06-11,1129880.3824349486,1118089.6305619322,0.009421191790393246
2024-06-12,1142081.4663792693,1118089.6305619322,0.010798562515110355
2024-06-13,1147411.264970883,1118089.6305619322,0.00466674116384258
2024-06-14,1134603.3719884001,1118089.6305619322,-0.011162425691199629
2024-06-17,1131379.4761086546,1118089.6305619322,-0.002841429841774157
2024-06-18,1140693.9944729027,1128480.7134460625,0.008232886101385839
2024-06-20,1131899.5649990258,1128480.7134460625,-0.007709718396422982
2024-06-21,1127369.9298700509,1128480.7134460625,-0.004001799513880688
2024-06-24,1120764.4559902367,1128480.7134460625,-0.005859189343976556
2024-06-25,1127390.5115622883,1121544.3973531132,0.005912085752395768
2024-06-26,1129199.451809824,1121544.3973531132,0.0016045374065007945
2024-06-27,1126593.454319418,1121544.3973531132,-0.002307827449109401
2024-06-28,1130721.1494221096,1121544.3973531132,0.0036638727900164536
2024-07-01,1128475.1771034603,1121544.3973531132,-0.0019863184833830427
2024-07-02,1127765.1705006019,1128990.561980094,-0.0006291734344399114
2024-07-03,1133652.625256385,1128990.561980094,0.005220461590571768
2024-07-05,1128747.7628467933,1128990.561980094,-0.0043266008478412
2024-07-08,1135957.7449406043,1128990.561980094,0.006387593695536431
2024-07-09,1129100.4987863835,1132041.723119193,-0.006036532771365843
2024-07-10,1133314.3358606633,1132041.723119193,0.0037320301238101816
2024-07-11,1125936.3212532338,1132041.723119193,-0.006510122014671715
2024-07-12,1132723.5642027196,1132041.723119193,0.0060280877536051936
2024-07-15,1133277.8606218633,1132041.723119193,0.0004893483605894478
2024-07-16,1131262.3265963234,1133470.3472338356,-0.0017784994268165155
